Country,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsCodedJob,DeveloperType,Gender,Race
Pakistan,Bachelor's degree,Computer engineering or electrical/electronics engineering,"More than half, but not all, the time",20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Mobile developer; Developer with a statistics or mathematics background; Quality assurance engineer,Male,South Asian
Ukraine,Master's degree,A natural science,About half the time,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",2 to 3 years,Mobile developer,Male,Middle Eastern
Israel,Bachelor's degree,A social science,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",8 to 9 years,Web developer,Male,Middle Eastern; White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,"5,000 to 9,999 employees",I don't know,13 to 14 years,Desktop applications developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),500 to 999 employees,Venture-funded startup,8 to 9 years,Web developer,Female,Hispanic or Latino/Latina; White or of European descent
United States,Master's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,10 to 11 years,Web developer; Mobile developer,Female,White or of European descent
Canada,Some college/university study without earning a bachelor's degree,Computer engineering or electrical/electronics engineering,Never,10 to 19 employees,Venture-funded startup,Less than a year,Web developer,Male,White or of European descent
United States,Bachelor's degree,Mathematics or statistics,It's complicated,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",4 to 5 years,Developer with a statistics or mathematics background; Desktop applications developer,Female,White or of European descent
United States,Bachelor's degree,A humanities discipline,A few days each month,20 to 99 employees,Publicly-traded corporation,3 to 4 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),20 to 99 employees,Non-profit/non-governmental organization or private school/university,10 to 11 years,Web developer,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,Mathematics or statistics,All or almost all the time (I'm full-time remote),20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Developer with a statistics or mathematics background,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",10 to 19 employees,Venture-funded startup,11 to 12 years,Web developer; Mobile developer; Desktop applications developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,"Privately-held limited company, not in startup mode",7 to 8 years,Web developer; Data scientist; DevOps specialist,Male,South Asian
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"5,000 to 9,999 employees",Non-profit/non-governmental organization or private school/university,15 to 16 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Non-profit/non-governmental organization or private school/university,3 to 4 years,Other,Male,White or of European descent
Canada,Some college/university study without earning a bachelor's degree,Fine arts or performing arts,It's complicated,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",7 to 8 years,Web developer,Male,White or of European descent
United Kingdom,Some college/university study without earning a bachelor's degree,A non-computer-focused engineering discipline,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",10 to 11 years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer programming or Web development,A few days each month,10 to 19 employees,Venture-funded startup,10 to 11 years,Web developer; Mobile developer,Male,White or of European descent
Pakistan,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",3 to 4 years,Web developer; Database administrator,Female,East Asian
